Player,Team,Role,Nationality ,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR
Umran Malik,SRH,Bowler,Indian origin,3,3,12,96,2,48,8,36
Varun Aaron,RCB,Bowler,Indian origin,30,29,93.6,849,30,25.992,9.584,16.71
Varun Chakaravarthy,KKR,Bowler,Indian origin,31,31,123,839,36,26.94,8.36,19.67
Venkatesh Iyer,KKR,Bowler,Indian origin,10,4,8.3,69,3,23,8.11,17
Vijay Shankar,SRH,Bowler,Indian origin,43,20,38.1,329,9,36.366,10.932,23.95
Vinay Kumar,RCB,Bowler,Indian origin,6,6,15.5,160,7,23.11,11.46333333,12.83333333
Virat Kohli,RCB,All Rounder,Indian origin,109,26,41.1,368,4,14.28571429,9.704285714,10.57142857
Wanindu Hasaranga,GT,All Rounder,Overseas,2,2,6,60,0,0,10,0
Washington Sundar,RCB,Bowler,Indian origin,42,41,125,867,27,33.24,7.462,27.1
Wayne Parnell,MI,All Rounder,Overseas,26,26,94.8,701,26,27.3125,7.4925,22.435
Yuzvendra Chahal,RR,Bowler,Indian origin,114,113,407.2,3097,139,20.53444444,7.708888889,16.42444444
